Name                                  ,Code     ,Type ,SubBasin ,City                ,State     ,Responsible  ,Latitude ,Longitude ,StartDate  ,EndDate    ,NYD ,MD   ,N_YWOMD ,YWMD
FARTURA                               ,02349014 ,   2 ,      64 ,FARTURA             ,SÃO PAULO ,DAEE-SP      ,-23.3833 ,-49.5167  ,1939/10/01 ,2000/12/19 , 62 , 7.2 ,     48 , 22.6
ITAÍ                                  ,02349015 ,   2 ,      64 ,ITAÍ                ,SÃO PAULO ,DAEE-SP      ,-23.4167 ,-49.1     ,1943/07/01 ,1999/07/31 , 57 , 5.6 ,     49 , 14.0
TAGUAÍ (RIBEIRÓPOLIS)                 ,02349016 ,   2 ,      64 ,TAGUAÍ              ,SÃO PAULO ,DAEE-SP      ,-23.45   ,-49.4167  ,1939/10/01 ,2013/12/31 , 75 , 5.4 ,     57 , 24.0
TAQUARITUBA                           ,02349017 ,   2 ,      64 ,TAQUARITUBA         ,SÃO PAULO ,DAEE-SP      ,-23.5333 ,-49.2333  ,1939/06/01 ,2014/11/30 , 76 ,11.0 ,     59 , 22.4
CORONEL MACEDO                        ,02349018 ,   2 ,      64 ,CORONEL MACEDO      ,SÃO PAULO ,DAEE-SP      ,-23.6333 ,-49.3167  ,1939/06/01 ,1999/12/31 , 61 , 7.6 ,     49 , 19.7
BARÃO DE ANTONINA                     ,02349019 ,   2 ,      64 ,BARÃO DE ANTONINA   ,SÃO PAULO ,DAEE-SP      ,-23.6333 ,-49.55    ,1937/09/01 ,2000/02/29 , 64 , 5.7 ,     46 , 28.1
ITAPORANGA                            ,02349020 ,   2 ,      64 ,ITAPORANGA          ,SÃO PAULO ,ANA          ,-23.7078 ,-49.4764  ,1951/08/31 ,2019/06/30 , 69 , 0.4 ,     59 , 14.5
MOSTEIRO ITAPORANGA                   ,02349022 ,   2 ,      64 ,ITAPORANGA          ,SÃO PAULO ,DAEE-SP      ,-23.7    ,-49.4833  ,1937/02/01 ,2006/01/31 , 70 ,23.7 ,     40 , 42.9
TORIBA DO SUL                         ,02349024 ,   2 ,      64 ,ITABERÁ             ,SÃO PAULO ,DAEE-SP      ,-23.75   ,-49.2667  ,1970/05/01 ,1999/12/31 , 30 , 0.0 ,     29 ,  3.3
RIVERSUL                              ,02349025 ,   2 ,      64 ,RIBEIRÃO DO SUL     ,SÃO PAULO ,DAEE-SP      ,-23.8333 ,-49.4333  ,1939/05/20 ,1997/11/30 , 59 , 1.5 ,     50 , 15.3
ITABERÁ                               ,02349026 ,   2 ,      64 ,ITABERÁ             ,SÃO PAULO ,DAEE-SP      ,-23.8667 ,-49.1333  ,1939/10/01 ,1999/12/31 , 61 , 2.3 ,     46 , 24.6
BAIRRO BOA VISTA                      ,02349027 ,   2 ,      64 ,ITARARÉ             ,SÃO PAULO ,DAEE-SP      ,-23.95   ,-49.3667  ,1965/12/22 ,1999/01/31 , 35 , 0.6 ,     31 , 11.4
UHE JURUMIRIM BARRAMENTO              ,02349041 ,   2 ,      64 ,PIRAJU              ,SÃO PAULO ,PARANAPANEMA ,-23.2047 ,-49.2333  ,1960/05/01 ,2012/12/31 , 53 ,26.8 ,     37 , 30.2
FAZENDA SÃO LUIZ                      ,02349052 ,   2 ,      64 ,IPAUÇU              ,SÃO PAULO ,DAEE-SP      ,-23.05   ,-49.6167  ,1943/02/01 ,2000/12/18 , 58 , 4.5 ,     48 , 17.2
MEDONHO                               ,02349054 ,   2 ,      64 ,TAQUARITUBA         ,SÃO PAULO ,DAEE-SP      ,-23.65   ,-49.1333  ,1971/09/01 ,2000/01/18 , 30 , 1.4 ,     22 , 26.7
